Workrequest_ID,Title,Property_ID,Destination,Contractor,Date,Status,Priority,Description,Workreport_ID
w16,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,27/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep14
w17,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,28/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep15
w18,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,29/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep16
w19,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,30/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep17
w20,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,31/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep18
w21,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,01/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep19
w22,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,02/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep20
w23,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,03/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep21
w24,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,04/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep22
w25,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,05/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep23
w26,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,06/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep24
w27,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,07/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep25
w28,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,08/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep26
w29,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,09/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep27
w30,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,10/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep28
w31,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,11/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep29
w32,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,12/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep30
w33,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,13/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep31
w34,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,14/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep32
w35,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,15/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep33
w36,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,16/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep34
w37,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,17/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep35
w38,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,18/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep36
w39,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,19/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep37
w40,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,20/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep38
w41,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,21/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep39
w42,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,22/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep40
w43,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,23/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep41
w44,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,24/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep42
w45,Kæla niður snjóhús og stoppa í glufur,FN1,Greenland - Nuuk,nei,25/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep43
w46,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,15/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep44
w47,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,16/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep45
w48,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,17/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep46
w49,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,18/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep47
w50,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,19/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep48
w51,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,20/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep49
w52,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,21/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep50
w53,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,22/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep51
w54,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,23/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep52
w55,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,24/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep53
w56,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,25/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep54
w57,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,26/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep55
w58,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,27/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep56
w59,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,28/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep57
w60,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,29/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep58
w61,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,30/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep59
w62,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,31/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep60
w63,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,01/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep61
w64,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,02/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep62
w65,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,03/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep63
w66,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,04/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep64
w67,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,05/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep65
w68,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,06/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep66
w69,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,07/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep67
w70,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,08/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep68
w71,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,09/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep69
w72,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,10/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep70
w73,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,11/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep71
w74,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,12/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep72
w75,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,13/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep73
w76,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,14/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep74
w77,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,15/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep75
w78,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,16/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep76
w79,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,17/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep77
w80,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,18/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep78
w81,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,19/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep79
w82,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,20/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep80
w83,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,21/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep81
w84,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,22/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep82
w85,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,23/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep83
w86,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,24/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep84
w87,Kæla niður snjóhús og stoppa í glufur,FN2,Greenland - Nuuk,nei,25/08/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep85
w88,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,15/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep86
w89,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,16/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep87
w90,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,17/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep88
w91,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,18/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep89
w92,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,19/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep90
w93,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,20/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep91
w94,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,21/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep92
w95,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,22/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep93
w96,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,23/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep94
w97,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,24/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep95
w98,Kæla niður snjóhús og stoppa í glufur,FN3,Greenland - Nuuk,nei,25/07/2021,completed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep96
